Provinsi,Sekolah Swasta 2021/2022
Aceh,178
Sumatera Utara,1528
Sumatera Barat,264
Riau,544
Jambi,148
Sumatera Selatan,423
Bengkulu,93
Lampung,394
Kepulauan Bangka Belitung,66
Kepulauan Riau,285
DKI Jakarta,921
Jawa Barat,2215
Jawa Tengah,1237
DI Yogyakarta,422
Jawa Timur,1952
Banten,718
Bali,143
Nusa Tenggara Barat,257
Nusa Tenggara Timur,1819
Kalimantan Barat,286
Kalimantan Tengah,223
Kalimantan Selatan,169
Kalimantan Timur,251
Kalimantan Utara,46
Sulawesi Utara,854
Sulawesi Tengah,243
Sulawesi Selatan,321
Sulawesi Tenggara,77
Gorontalo,30
Sulawesi Barat,28
Maluku,531
Maluku Utara,204
Papua Barat,402
Papua,967